"peak","gene","score"
"chr11-60455251-60456168","MS4A1",0.459641820381009
"chr9-37408873-37409799","PAX5",0.44219199797327
"chr1-178605685-178606556","RALGPS2",0.428284398051841
"chr1-157806488-157807383","FCRL1",0.416672248917184
"chr9-37374669-37375576","PAX5",0.411975953424862
"chr9-37324122-37324936","PAX5",0.396574921182959
"chr9-36993650-36994557","PAX5",0.387481285467983
"chr8-11545433-11546343","BLK",0.364764250452119
"chr11-60476793-60477701","MS4A1",0.363287443891142
"chr11-60498524-60499348","MS4A1",0.360552224456908
"chr2-100247278-100248169","AFF3",0.359894499315294
"chr4-101806741-101807578","BANK1",0.353756151348909
"chr17-36066287-36067186","CCL5",0.35230721867402
"chr9-37034090-37034923","PAX5",0.346004782834073
"chr10-70603404-70604108","PRF1",0.3435380656847
"chr14-99262151-99263053","BCL11B",0.337977973916466
"chr19-41876957-41877634","CD79A",0.33752653123358
"chr9-37370857-37371704","PAX5",0.336495077445851
"chr8-11491708-11492616","BLK",0.335724586081524
"chr8-24366993-24367888","ADAM28",0.335068010616312
"chr6-150600331-150601096","PLEKHG1",0.329538897347001
"chr15-57299568-57300495","LINC00926",0.328875852175363
"chr6-150622715-150623603","PLEKHG1",0.326537723993586
"chr19-35330225-35331115","CD22",0.32623458501136
"chr2-100395051-100395861","AFF3",0.324877358274636
"chr3-31951943-31952833","OSBPL10",0.32255876522905
"chr10-48671256-48672151","WDFY4",0.322051154884807
"chr14-100375043-100375845","WARS",0.31995949733402
"chr14-103118778-103119687","TNFAIP2",0.319214386254198
"chr9-107489469-107490362","KLF4",0.319210007525348
"chr1-178605685-178606556","ANGPTL1",0.31534095974412
"chr2-85693902-85694778","GNLY",0.314474411787541
"chr14-99603925-99604794","BCL11B",0.31438931790317
"chr10-20003561-20004367","PLXDC2",0.313884343127219
"chr5-111223848-111224738","CAMK4",0.311916949104512
"chr6-90296495-90297323","BACH2",0.310563216671443
"chr11-60931736-60932503","MS4A1",0.310042363721683
"chr19-42364898-42365803","CD79A",0.309535038735169
"chr1-157726513-157727410","FCRL1",0.309164655501699
"chr11-2836868-2837782","CDKN1C",0.308578648788476
"chr22-33567993-33568839","LARGE1",0.307731812824493
"chr5-134086685-134087592","TCF7",0.305742829942981
"chr4-101790355-101791215","BANK1",0.304183049570402
"chr14-99271805-99272719","BCL11B",0.302855395083991
"chr4-90126940-90127832","CCSER1",0.302405542649085
"chr2-100393891-100394705","AFF3",0.300835616536931
"chr5-158774989-158775892","EBF1",0.298463303598606
"chr14-24633901-24634799","GZMH",0.297353357588642
"chr5-35854078-35854845","IL7R",0.296842869101427
"chr4-40576786-40577705","RBM47",0.2958040828083
"chr7-106424687-106425587","NAMPT",0.295547215840854
"chr12-24378532-24379439","SOX5",0.290660510715802
"chr8-55885347-55886231","LYN",0.289144676579645
"chr2-86786003-86786631","CD8A",0.288529232339328
"chr19-51372468-51373378","NKG7",0.288025625332956
"chr6-69881352-69882208","COL19A1",0.285889441453525
"chr9-37293668-37294547","PAX5",0.285853241940694
"chr20-32154901-32155818","HCK",0.285565108942785
"chr1-178581111-178581994","RALGPS2",0.284649566390623
"chr2-86785395-86785893","CD8B",0.283348367213502
"chr2-100142170-100143051","AFF3",0.283306079516266
"chr9-37369407-37370248","PAX5",0.282067010635835
"chr20-47740456-47741335","SULF2",0.281585773342537
"chr17-35890480-35891380","CCL5",0.28044554397828
"chr8-55930206-55931081","LYN",0.279841010426048
"chr19-2710162-2711018","GNG7",0.279787508350714
"chr6-150599271-150600181","PLEKHG1",0.279438224752357
"chr19-2663859-2664788","GNG7",0.278588717699087
"chr2-86785395-86785893","CD8A",0.278276777447114
"chr4-108355329-108356213","LEF1",0.275166613194632
"chr17-36066287-36067186","CCL4",0.273652754275125
"chr9-107637391-107638290","KLF4",0.273042032945296
"chr19-2680582-2681179","GNG7",0.272208780165453
"chr10-48667798-48668693","WDFY4",0.270986736912648
"chr6-90274172-90275075","BACH2",0.270644338609322
"chr5-158820682-158821524","EBF1",0.269239594472405
"chr2-218370283-218371165","SLC11A1",0.268567237864323
"chr17-35879952-35880835","CCL5",0.268518443735664
"chr13-74133711-74134574","KLF12",0.267301823771247
"chr4-108172787-108173619","LEF1",0.267286655710506
"chr2-86825763-86826655","CD8A",0.266874385487117
"chr3-32438742-32439662","OSBPL10",0.266382931050463
"chr10-70610349-70611215","PRF1",0.265701005648915
"chr6-32636874-32637784","HLA-DQA1",0.264795177755664
"chr5-158953695-158954593","EBF1",0.263990396564672
"chr5-95261261-95262171","MCTP1",0.263980877701153
"chr6-33029148-33030010","HLA-DQA1",0.263708620157402
"chr1-178579257-178580155","RALGPS2",0.263465281890827
"chr1-157806488-157807383","FCRL2",0.263191118681126
"chr7-106365014-106365925","NAMPT",0.262890571051944
"chr15-57284250-57285115","LINC00926",0.262682386832572
"chr6-127971733-127972654","THEMIS",0.261985171963725
"chr4-108036001-108036912","LEF1",0.261949975445513
"chr14-95713698-95714617","TCL1A",0.261827125783742
"chr19-42129171-42130058","CD79A",0.261349139678591
"chr4-108168434-108169315","LEF1",0.260613968239165
"chr2-86825763-86826655","CD8B",0.259292080012164
"chr11-60985918-60986814","CD6",0.25886535627796
"chr4-108171246-108172092","LEF1",0.25847356566388
"chr1-157783628-157784464","FCRL1",0.258463823090056
"chr4-101813378-101814251","BANK1",0.25806214858478
"chr4-108072008-108072930","LEF1",0.257418163714406
"chr5-158898127-158898997","EBF1",0.256541181588333
"chr17-10063509-10064398","GAS7",0.255956406726837
"chr6-33029148-33030010","HLA-DRB1",0.255646444602776
"chr12-10128412-10129279","CLEC7A",0.254532211793167
"chr10-96244159-96245058","BLNK",0.253276211081307
"chr5-88826888-88827783","MEF2C",0.252823155040048
"chr2-86786003-86786631","CD8B",0.252549687413286
"chr2-86790609-86791430","CD8A",0.252417356631289
"chr2-218381671-218382577","SLC11A1",0.251337309592463
"chr2-235669112-235669986","AGAP1",0.251162459335398
"chr14-61280437-61281268","PRKCH",0.250617262541261
"chr2-144660733-144661576","ZEB2",0.250437858373237
"chr1-235945975-235946858","LYST",0.249881952963171
"chr11-65776006-65776722","NEAT1",0.249499803434289
"chr3-31980489-31981279","OSBPL10",0.249162328569991
"chr20-24960677-24961559","CST7",0.249003152987449
"chr12-32485380-32486299","FGD4",0.248566231786445
"chr14-61342229-61343114","PRKCH",0.247715526378835
"chr14-24633901-24634799","GZMB",0.247006813561081
"chr14-61337539-61338425","PRKCH",0.246925895451951
"chr11-104163721-104164615","PDGFD",0.246709323734065
"chr8-102097488-102098388","NCALD",0.246574469777779
"chr1-91555802-91556701","TGFBR3",0.246126785818185
